Rk,Season,Team,Comp,W,MP,W,D,L,Pts,Pts/MP,LgRank,Min,Subs,GF,GA,GD,Poss,CS,CS%,G-PK,PK,PKatt,PKm
380,2020-2021,Getafe,es La Liga,9,38,9,11,18,38,1,15th,3420,141,28,43,-15,43.3,14,36.8,24,3,5,2
381,2020-2021,Reims,fr Ligue 1,9,38,9,15,14,42,1.11,14th,3420,145,42,50,-8,44.9,10,26.3,34,5,5,0
382,2020-2021,Alavés,es La Liga,9,38,9,11,18,38,1,16th,3420,163,36,57,-21,42.8,9,23.7,30,5,8,3
383,2020-2021,Levante,es La Liga,9,38,9,14,15,41,1.08,14th,3420,184,46,57,-11,52.2,4,10.5,42,3,6,3
384,2020-2021,Cagliari,it Serie A,9,38,9,10,19,37,0.97,16th,3420,163,43,59,-16,44.8,7,18.4,39,4,5,1
385,2020-2021,Brighton,eng Premier League,9,38,9,14,15,41,1.08,16th,3420,108,40,46,-6,51.1,12,31.6,33,6,9,3
386,2020-2021,Nantes,fr Ligue 1,9,38,9,13,16,40,1.05,18th,3420,139,47,55,-8,43.9,5,13.2,39,8,9,1
387,2019-2020,Augsburg,de Bundesliga,9,34,9,9,16,36,1.06,15th,3060,111,45,63,-18,38.6,7,20.6,42,3,5,2
388,2019-2020,Bordeaux,fr Ligue 1,9,28,9,10,9,37,1.32,12th,2520,84,40,34,6,53.6,6,21.4,38,2,2,0
389,2019-2020,Valladolid,es La Liga,9,38,9,15,14,42,1.11,13th,3420,126,32,43,-11,44.7,12,31.6,28,3,6,3
390,2019-2020,Mallorca,es La Liga,9,38,9,6,23,33,0.87,19th,3420,132,40,65,-25,45,5,13.2,31,8,10,2
391,2019-2020,Bournemouth,eng Premier League,9,38,9,7,22,34,0.89,18th,3420,108,40,65,-25,44.1,5,13.2,34,4,4,0
392,2019-2020,Aston Villa,eng Premier League,9,38,9,8,21,35,0.92,17th,3420,113,41,67,-26,44.1,7,18.4,39,1,3,2
393,2019-2020,Schalke 04,de Bundesliga,9,34,9,12,13,39,1.15,12th,3060,106,38,58,-20,49,7,20.6,33,2,2,0
394,2019-2020,Brighton,eng Premier League,9,38,9,14,15,41,1.08,15th,3420,128,39,54,-15,52.2,9,23.7,34,1,2,1
395,2019-2020,Lecce,it Serie A,9,38,9,8,21,35,0.92,18th,3420,120,52,85,-33,44.8,3,7.9,41,11,15,4
396,2023-2024,Mallorca,es La Liga,8,38,8,16,14,40,1.05,15th,3420,186,33,44,-11,45,10,26.3,32,1,3,2
397,2023-2024,Frosinone,it Serie A,8,38,8,11,19,35,0.92,18th,3420,177,44,69,-25,49.7,7,18.4,36,8,10,2
398,2023-2024,Rayo Vallecano,es La Liga,8,38,8,14,16,38,1,17th,3420,186,29,48,-19,49.4,13,34.2,23,6,6,0
399,2023-2024,Cagliari,it Serie A,8,38,8,12,18,36,0.95,16th,3420,184,42,68,-26,42.1,5,13.2,37,4,6,2
400,2023-2024,Metz,fr Ligue 1,8,34,8,5,21,29,0.85,16th,3060,138,35,58,-23,35.6,6,17.6,31,4,6,2
401,2023-2024,Lecce,it Serie A,8,38,8,14,16,38,1,14th,3420,180,32,54,-22,44.9,7,18.4,27,3,5,2
402,2022-2023,Auxerre,fr Ligue 1,8,38,8,11,19,35,0.92,17th,3420,159,35,63,-28,43.3,7,18.4,25,7,9,2
403,2022-2023,Espanyol,es La Liga,8,38,8,13,17,37,0.97,19th,3420,169,52,69,-17,43.1,6,15.8,46,5,5,0
404,2022-2023,Everton,eng Premier League,8,38,8,12,18,36,0.95,17th,3420,116,34,57,-23,42.8,9,23.7,29,3,3,0
405,2022-2023,Lecce,it Serie A,8,38,8,12,18,36,0.95,16th,3420,184,33,46,-13,41.3,6,15.8,27,4,6,2
406,2021-2022,Getafe,es La Liga,8,38,8,15,15,39,1.03,15th,3420,153,33,41,-8,41.5,14,36.8,28,3,5,2
407,2021-2022,Alavés,es La Liga,8,38,8,7,23,31,0.82,20th,3420,167,31,65,-34,42,6,15.8,23,6,7,1
408,2021-2022,Levante,es La Liga,8,38,8,11,19,35,0.92,19th,3420,180,51,76,-25,47.2,7,18.4,43,8,13,5
409,2021-2022,Granada,es La Liga,8,38,8,14,16,38,1,18th,3420,175,44,61,-17,44.7,8,21.1,40,3,5,2
410,2021-2022,Lorient,fr Ligue 1,8,38,8,12,18,36,0.95,16th,3420,153,35,63,-28,44.4,11,28.9,32,3,3,0
411,2021-2022,Cádiz,es La Liga,8,38,8,15,15,39,1.03,17th,3420,172,35,51,-16,41.3,13,34.2,32,3,6,3
412,2020-2021,Hertha BSC,de Bundesliga,8,34,8,11,15,35,1.03,14th,3060,149,41,52,-11,49.6,9,26.5,36,4,6,2
413,2020-2021,Elche,es La Liga,8,38,8,12,18,36,0.95,17th,3420,152,34,55,-21,47.5,7,18.4,31,2,3,1
414,2020-2021,Köln,de Bundesliga,8,34,8,9,17,33,0.97,16th,3060,148,34,60,-26,46.3,5,14.7,29,4,6,2
415,2019-2020,Watford,eng Premier League,8,38,8,10,20,34,0.89,19th,3420,113,36,64,-28,42.9,9,23.7,28,7,8,1
416,2019-2020,Werder Bremen,de Bundesliga,8,34,8,7,19,31,0.91,16th,3060,117,42,69,-27,48.8,4,11.8,37,3,6,3
417,2019-2020,Leganés,es La Liga,8,38,8,12,18,36,0.95,18th,3420,130,30,51,-21,43.9,9,23.7,27,3,5,2
418,2019-2020,Saint-Étienne,fr Ligue 1,8,28,8,6,14,30,1.07,17th,2520,82,29,45,-16,48.2,5,17.9,23,5,5,0
419,2019-2020,Metz,fr Ligue 1,8,28,8,10,10,34,1.21,15th,2520,77,27,35,-8,45.3,8,28.6,25,2,4,2
420,2019-2020,Brest,fr Ligue 1,8,28,8,10,10,34,1.21,14th,2520,82,34,37,-3,49.8,8,28.6,31,1,5,4
421,2023-2024,Gladbach,de Bundesliga,7,34,7,13,14,34,1,14th,3060,167,56,67,-11,46.8,4,11.8,50,5,6,1
422,2023-2024,Le Havre,fr Ligue 1,7,34,7,11,16,32,0.94,15th,3060,163,34,45,-11,44.7,7,20.6,27,6,7,1
423,2023-2024,Mainz 05,de Bundesliga,7,34,7,14,13,35,1.03,13th,3060,148,39,51,-12,46.1,8,23.5,37,1,5,4
424,2023-2024,Bochum,de Bundesliga,7,34,7,12,15,33,0.97,16th,3060,146,42,74,-32,46.6,4,11.8,37,4,4,0
425,2023-2024,Lorient,fr Ligue 1,7,34,7,8,19,29,0.85,17th,3060,148,43,66,-23,46.3,4,11.8,40,1,1,0
426,2023-2024,Sassuolo,it Serie A,7,38,7,9,22,30,0.79,19th,3420,177,43,75,-32,43.8,3,7.9,35,7,8,1
427,2022-2023,Hellas Verona,it Serie A,7,38,7,10,21,31,0.82,18th,3420,184,31,59,-28,41.2,6,15.8,28,1,1,0
428,2022-2023,Hertha BSC,de Bundesliga,7,34,7,8,19,29,0.85,18th,3060,153,42,69,-27,42,3,8.8,35,7,7,0
429,2022-2023,Stuttgart,de Bundesliga,7,34,7,12,15,33,0.97,16th,3060,140,45,57,-12,50.2,2,5.9,40,5,5,0
430,2022-2023,Leeds United,eng Premier League,7,38,7,10,21,31,0.82,19th,3420,157,48,78,-30,47,5,13.2,44,1,3,2
431,2022-2023,Ajaccio,fr Ligue 1,7,38,7,5,26,26,0.68,18th,3420,172,23,74,-51,43.2,6,15.8,16,6,9,3
432,2022-2023,Schalke 04,de Bundesliga,7,34,7,10,17,31,0.91,17th,3060,145,35,71,-36,46,7,20.6,28,4,5,1
433,2022-2023,Nantes,fr Ligue 1,7,38,7,15,16,36,0.95,16th,3420,176,37,55,-18,45.9,11,28.9,32,3,5,2
